subclass,title
C23F,"NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACE"
C23G,"CLEANING OR DE-GREASING OF METALLIC MATERIAL BY CHEMICAL METHODS OTHER THAN ELECTROLYSIS"
C25B,"ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON-METALS"
C25C,"PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS"
C25D,"PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS"
C25F,"PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS"
C30B,"SINGLE-CRYSTAL GROWTH"
C40B,"COMBINATORIAL CHEMISTRY"
C99Z,"SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION"
D01B,"MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OF FILAMENTS, e.g. FOR SPINNING"
D01C,"CHEMICAL OR BIOLOGICAL TREATMENT OF NATURAL FILAMENTARY OR FIBROUS MATERIAL TO OBTAIN FILAMENTS OR FIBRES FOR SPINNING"
D01D,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS"
D01F,"CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS"
D01G,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING"
D01H,"SPINNING OR TWISTING"
D02G,"CRIMPING OR CURLING FIBRES, FILAMENTS, THREADS, OR YARNS"
D02H,"WARPING, BEAMING OR LEASING"
D02J,"FINISHING OR DRESSING OF FILAMENTS, YARNS, THREADS, CORDS, ROPES OR THE LIKE"
D03C,"SHEDDING MECHANISMS"
D03D,"WOVEN FABRICS"
D03J,"AUXILIARY WEAVING APPARATUS"
D04B,"KNITTING"
D04C,"BRAIDING OR MANUFACTURE OF LACE, INCLUDING BOBBIN-NET OR CARBONISED LACE"
D04D,"TRIMMINGS"
D04G,"MAKING NETS BY KNOTTING OF FILAMENTARY MATERIAL"
D04H,"MAKING TEXTILE FABRICS, e.g. FROM FIBRES OR FILAMENTARY MATERIAL"
D05B,"SEWING"
D05C,"EMBROIDERING"
D05D,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES D05B AND D05C, RELATING TO SEWING, EMBROIDERING AND TUFTING"
D06B,"TREATING TEXTILE MATERIALS USING LIQUIDS, GASES OR VAPOURS"
D06C,"FINISHING, DRESSING, TENTERING OR STRETCHING TEXTILE FABRICS"
D06F,"LAUNDERING, DRYING, IRONING, PRESSING OR FOLDING TEXTILE ARTICLES"
D06G,"MECHANICAL OR PRESSURE CLEANING OF CARPETS, RUGS, SACKS, HIDES, OR OTHER SKIN OR TEXTILE ARTICLES OR FABRICS"
D06H,"MARKING, INSPECTING, SEAMING OR SEVERING TEXTILE MATERIALS"
D06J,"PLEATING, KILTING OR GOFFERING TEXTILE FABRICS OR WEARING APPAREL"
D06L,"DRY-CLEANING, WASHING OR BLEACHING FIBRES, FILAMENTS, THREADS, YARNS, FABRICS, FEATHERS OR MADE-UP FIBROUS GOODS"
D06M,"TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS D06, OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR FIBROUS GOODS MADE FROM SUCH MATERIALS"
D06N,"WALL, FLOOR, OR LIKE COVERING MATERIALS, e.g. LINOLEUM, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL"
D06P,"DYEING OR PRINTING TEXTILES"
D06Q,"DECORATING TEXTILES"
D07B,"ROPES OR CABLES IN GENERAL"
D10B,"INDEXING SCHEME ASSOCIATED WITH SUBLASSES OF SECTION D, RELATING TO TEXTILES"
D21B,"FIBROUS RAW MATERIALS OR THEIR MECHANICAL TREATMENT"
D21C,"PRODUCTION OF CELLULOSE BY REMOVING NON-CELLULOSE SUBSTANCES FROM CELLULOSE-CONTAINING MATERIALS"
D21D,"TREATMENT OF THE MATERIALS BEFORE PASSING TO THE PAPER-MAKING MACHINE"
D21F,"PAPER-MAKING MACHINES"
D21G,"CALENDERS"
D21H,"PULP COMPOSITIONS"
D21J,"FIBREBOARD"
D99Z,"SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION"
E01B,"PERMANENT WAY"
E01C,"CONSTRUCTION OF, OR SURFACES FOR, ROADS, SPORTS GROUNDS, OR THE LIKE"
E01D,"CONSTRUCTION OF BRIDGES, OR VIADUCTS"
E01F,"ADDITIONAL WORK, SUCH AS EQUIPPING ROADS OR THE CONSTRUCTION OF PLATFORMS, HELICOPTER LANDING STAGES, SIGNS, SNOW FENCES, OR THE LIKE"
E01H,"STREET CLEANING"
E02B,"HYDRAULIC ENGINEERING"
E02C,"SHIP-LIFTING DEVICES OR MECHANISMS"
E02D,"FOUNDATIONS"
E02F,"DREDGING"
E03B,"INSTALLATIONS OR METHODS FOR OBTAINING, COLLECTING, OR DISTRIBUTING WATER"
E03C,"DOMESTIC PLUMBING INSTALLATIONS FOR FRESH WATER OR WASTE WATER"
E03D,"WATER-CLOSETS OR URINALS WITH FLUSHING DEVICES"
E03F,"SEWERS"
E04B,"GENERAL BUILDING CONSTRUCTIONS"
E04C,"STRUCTURAL ELEMENTS"
E04D,"ROOF COVERINGS"
E04F,"FINISHING WORK ON BUILDINGS, e.g. STAIRS, FLOORS"
E04G,"SCAFFOLDING"
E04H,"BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES"
E05B,"LOCKS"
E05C,"BOLTS OR FASTENING DEVICES FOR WINGS, SPECIALLY FOR DOORS OR WINDOWS"
E05D,"HINGES OR SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS"
E05F,"DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION"
E05G,"SAFES OR STRONG-ROOMS FOR VALUABLES"
E05Y,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES E05D AND E05F, RELATING TO CONSTRUCTION ELEMENTS, ELECTRIC CONTROL, POWER SUPPLY, POWER SIGNAL OR TRANSMISSION, USER INTERFACES, MOUNTING OR COUPLING, DETAILS, ACCESSORIES, AUXILIARY OPERATIONS NOT OTHERWISE PROVIDED FOR, APPLICATION THEREOF"
E06B,"FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES OR LIKE ENCLOSURES IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES"
E06C,"LADDERS"
E21B,"EARTH OR ROCK DRILLING"
E21C,"MINING OR QUARRYING"
E21D,"SHAFTS"
E21F,"SAFETY DEVICES, TRANSPORT, FILLING-UP, RESCUE, VENTILATION, OR DRAINING IN OR OF MINES OR TUNNELS"
E99Z,"SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION"
F01B,"MACHINES OR ENGINES, IN GENERAL OR OF POSITIVE-DISPLACEMENT TYPE, e.g. STEAM ENGINES"
F01C,"ROTARY-PISTON OR OSCILLATING-PISTON MACHINES OR ENGINES"
F01D,"NON-POSITIVE DISPLACEMENT MACHINES OR ENGINES, e.g. STEAM TURBINES"
F01K,"STEAM ENGINE PLANTS"
F01L,"CYCLICALLY OPERATING VALVES FOR MACHINES OR ENGINES"
F01M,"LUBRICATING OF MACHINES OR ENGINES IN GENERAL"
F01N,"GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR MACHINES OR ENGINES IN GENERAL"
F01P,"COOLING OF MACHINES OR ENGINES IN GENERAL"
F02B,"INTERNAL-COMBUSTION PISTON ENGINES"
F02C,"GAS-TURBINE PLANTS"
F02D,"CONTROLLING COMBUSTION ENGINES"
F02F,"CYLINDERS, PISTONS OR CASINGS, FOR COMBUSTION ENGINES"
F02G,"HOT GAS OR COMBUSTION-PRODUCT POSITIVE-DISPLACEMENT ENGINE PLANTS"
F02K,"JET-PROPULSION PLANTS"
F02M,"SUPPLYING COMBUSTION ENGINES IN GENERAL WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF"
F02N,"STARTING OF COMBUSTION ENGINES"
F02P,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES"
F03B,"MACHINES OR ENGINES FOR LIQUIDS"
F03C,"POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS"
F03D,"WIND MOTORS"
F03G,"SPRING, WEIGHT, INERTIA OR LIKE MOTORS"
F03H,"PRODUCING A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR"
F04B,"POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS"
F04C,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS"
F04D,"NON-POSITIVE-DISPLACEMENT PUMPS"
F04F,"PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED"
F05B,"INDEXING SCHEME RELATING TO WIND, SPRING, WEIGHT, INERTIA OR LIKE MOTORS, TO MACHINES OR ENGINES FOR LIQUIDS COVERED BY SUBCLASSES F03B, F03D AND F03G"
F05C,"INDEXING SCHEME RELATING TO MATERIALS, MATERIAL PROPERTIES OR MATERIAL CHARACTERISTICS FOR MACHINES, ENGINES OR PUMPS OTHER THAN NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES"
F05D,"INDEXING SCHEME FOR ASPECTS RELATING TO NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, GAS-TURBINES OR JET-PROPULSION PLANTS"
F15B,"SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL"
F15C,"FLUID-CIRCUIT ELEMENTS PREDOMINANTLY USED FOR COMPUTING OR CONTROL PURPOSES"
F15D,"FLUID DYNAMICS, i.e. METHODS OR MEANS FOR INFLUENCING THE FLOW OF GASES OR LIQUIDS"
F16B,"DEVICES FOR FASTENING OR SECURING CONSTRUCTIONAL ELEMENTS OR MACHINE PARTS TOGETHER, e.g. NAILS, BOLTS, CIRCLIPS, CLAMPS, CLIPS OR WEDGES"
F16C,"SHAFTS"
F16D,"COUPLINGS FOR TRANSMITTING ROTATION"
F16F,"SPRINGS"
F16G,"BELTS, CABLES, OR ROPES, PREDOMINANTLY USED FOR DRIVING PURPOSES"
F16H,"GEARING"
F16J,"PISTONS"
F16K,"VALVES"
F16L,"PIPES"
F16M,"FRAMES, CASINGS OR BEDS OF ENGINES, MACHINES OR APPARATUS, NOT SPECIFIC TO ENGINES, MACHINES OR APPARATUS PROVIDED FOR ELSEWHERE"
F16N,"LUBRICATING"
F16P,"SAFETY DEVICES IN GENERAL"
F16S,"CONSTRUCTIONAL ELEMENTS IN GENERAL"
F16T,"STEAM TRAPS OR LIKE APPARATUS FOR DRAINING-OFF LIQUIDS FROM ENCLOSURES PREDOMINANTLY CONTAINING GASES OR VAPOURS"
F17B,"GAS-HOLDERS OF VARIABLE CAPACITY"
F17C,"VESSELS FOR CONTAINING OR STORING COMPRESSED, LIQUEFIED OR SOLIDIFIED GASES"
F17D,"PIPE-LINE SYSTEMS"
F21H,"INCANDESCENT MANTLES"
F21K,"NON-ELECTRIC LIGHT SOURCES USING LUMINESCENCE"
F21L,"LIGHTING DEVICES OR SYSTEMS THEREOF, BEING PORTABLE OR SPECIALLY ADAPTED FOR TRANSPORTATION"
F21S,"NON-PORTABLE LIGHTING DEVICES"
F21V,"FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF"
F21W,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES F21K, F21L, F21S and F21V, RELATING TO USES OR APPLICATIONS OF LIGHTING DEVICES OR SYSTEMS"
F21Y,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES F21K, F21L, F21S and F21V, RELATING TO THE FORM OR THE KIND OF THE LIGHT SOURCES OR OF THE COLOUR OF THE LIGHT EMITTED"
F22B,"METHODS OF STEAM GENERATION"
F22D,"PREHEATING, OR ACCUMULATING PREHEATED, FEED-WATER FOR STEAM GENERATION"
F22G,"SUPERHEATING OF STEAM"
F23B,"METHODS OR APPARATUS FOR COMBUSTION USING ONLY SOLID FUEL"
F23C,"METHODS OR APPARATUS FOR COMBUSTION USING FLUID FUEL OR SOLID FUEL SUSPENDED IN  AIR "
F23D,"BURNERS"
F23G,"CREMATION FURNACES"
F23H,"GRATES"
F23J,"REMOVAL OR TREATMENT OF COMBUSTION PRODUCTS OR COMBUSTION RESIDUES"
F23K,"FEEDING FUEL TO COMBUSTION APPARATUS"
F23L,"SUPPLYING AIR OR NON-COMBUSTIBLE LIQUIDS OR GASES TO COMBUSTION APPARATUS IN GENERAL "
F23M,"CASINGS, LININGS, WALLS OR DOORS SPECIALLY ADAPTED FOR COMBUSTION CHAMBERS, e.g. FIREBRIDGES"
F23N,"REGULATING OR CONTROLLING COMBUSTION"
F23Q,"IGNITION"
F23R,"GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY, e.g. GAS-TURBINE COMBUSTION CHAMBERS"
F24B,"DOMESTIC STOVES OR RANGES FOR SOLID FUELS"
F24C,"DOMESTIC STOVES OR RANGES "
F24D,"DOMESTIC- OR SPACE-HEATING SYSTEMS, e.g. CENTRAL HEATING SYSTEMS"
F24F,"AIR-CONDITIONING"
F24H,"FLUID HEATERS, e.g. WATER OR AIR HEATERS, HAVING HEAT-GENERATING MEANS, e.g. HEAT PUMPS, IN GENERAL"
F24S,"SOLAR HEAT COLLECTORS"
F24T,"GEOTHERMAL COLLECTORS"
F24V,"COLLECTION, PRODUCTION OR USE OF HEAT NOT OTHERWISE PROVIDED FOR"
F25B,"REFRIGERATION MACHINES, PLANTS OR SYSTEMS"
F25C,"PRODUCING, WORKING OR HANDLING ICE"
F25D,"REFRIGERATORS"
F25J,"LIQUEFACTION, SOLIDIFICATION OR SEPARATION OF GASES OR GASEOUS MIXTURES BY PRESSURE AND COLD TREATMENT"
F26B,"DRYING SOLID MATERIALS OR OBJECTS BY REMOVING LIQUID THEREFROM"
F27B,"FURNACES, KILNS, OVENS OR RETORTS IN GENERAL"
F27D,"DETAILS OR ACCESSORIES OF FURNACES, KILNS, OVENS OR RETORTS, IN SO FAR AS THEY ARE OF KINDS OCCURRING IN MORE THAN ONE KIND OF FURNACE"
F27M,"INDEXING SCHEME RELATING TO ASPECTS OF THE CHARGES OR FURNACES, KILNS, OVENS OR RETORTS"
F28B,"STEAM OR VAPOUR CONDENSERS"
F28C,"HEAT-EXCHANGE APPARATUS, NOT PROVIDED FOR IN ANOTHER SUBCLASS, IN WHICH THE HEAT-EXCHANGE MEDIA COME INTO DIRECT CONTACT WITHOUT CHEMICAL INTERACTION"
F28D,"HEAT-EXCHANGE APPARATUS, NOT PROVIDED FOR IN ANOTHER SUBCLASS, IN WHICH THE HEAT-EXCHANGE MEDIA DO NOT COME INTO DIRECT CONTACT"
F28F,"DETAILS OF HEAT-EXCHANGE AND HEAT-TRANSFER APPARATUS, OF GENERAL APPLICATION"
F28G,"CLEANING OF INTERNAL OR EXTERNAL SURFACES OF HEAT-EXCHANGE OR HEAT-TRANSFER CONDUITS, e.g. WATER TUBES OR BOILERS"
F41A,"FUNCTIONAL FEATURES OR DETAILS COMMON TO BOTH SMALLARMS AND ORDNANCE, e.g. CANNONS"
F41B,"WEAPONS FOR PROJECTING MISSILES WITHOUT USE OF EXPLOSIVE OR COMBUSTIBLE PROPELLANT CHARGE"
F41C,"SMALLARMS, e.g. PISTOLS, RIFLES"
F41F,"APPARATUS FOR LAUNCHING PROJECTILES OR MISSILES FROM BARRELS, e.g. CANNONS"
F41G,"WEAPON SIGHTS"
F41H,"ARMOUR"
F41J,"TARGETS"
F42B,"EXPLOSIVE CHARGES, e.g. FOR BLASTING, FIREWORKS, AMMUNITION"
F42C,"AMMUNITION FUZES"
F42D,"BLASTING"
F99Z,"SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION"
G01B,"MEASURING LENGTH, THICKNESS OR SIMILAR LINEAR DIMENSIONS"
G01C,"MEASURING DISTANCES, LEVELS OR BEARINGS"
G01D,"MEASURING NOT SPECIALLY ADAPTED FOR A SPECIFIC VARIABLE"
G01F,"MEASURING VOLUME, VOLUME FLOW, MASS FLOW OR LIQUID LEVEL"
G01G,"WEIGHING"
G01H,"MEASUREMENT OF MECHANICAL VIBRATIONS OR ULTRASONIC, SONIC OR INFRASONIC WAVES"
G01J,"MEASUREMENT OF INTENSITY, VELOCITY, SPECTRAL CONTENT, POLARISATION, PHASE OR PULSE CHARACTERISTICS OF INFRARED, VISIBLE OR ULTRAVIOLET LIGHT"
G01K,"MEASURING TEMPERATURE"
G01L,"MEASURING FORCE, STRESS, TORQUE, WORK, MECHANICAL POWER, MECHANICAL EFFICIENCY, OR FLUID PRESSURE"
G01M,"TESTING STATIC OR DYNAMIC BALANCE OF MACHINES OR STRUCTURES"
G01N,"INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES"
G01P,"MEASURING LINEAR OR ANGULAR SPEED, ACCELERATION, DECELERATION, OR SHOCK"
G01Q,"SCANNING-PROBE TECHNIQUES OR APPARATUS"
G01R,"MEASURING ELECTRIC VARIABLES"
G01S,"RADIO DIRECTION-FINDING"
G01T,"MEASUREMENT OF NUCLEAR OR X-RADIATION"
G01V,"GEOPHYSICS"
G01W,"METEOROLOGY"
G02B,"OPTICAL ELEMENTS, SYSTEMS OR APPARATUS"
G02C,"SPECTACLES"
G02F,"OPTICAL DEVICES OR ARRANGEMENTS FOR THE CONTROL OF LIGHT BY MODIFICATION OF THE OPTICAL PROPERTIES OF THE MEDIA OF THE ELEMENTS INVOLVED THEREIN"
G03B,"APPARATUS OR ARRANGEMENTS FOR TAKING PHOTOGRAPHS OR FOR PROJECTING OR VIEWING THEM"
G03C,"PHOTOSENSITIVE MATERIALS FOR PHOTOGRAPHIC PURPOSES"
G03D,"APPARATUS FOR PROCESSING EXPOSED PHOTOGRAPHIC MATERIALS"
G03F,"PHOTOMECHANICAL PRODUCTION OF TEXTURED OR PATTERNED SURFACES, e.g. FOR PRINTING, FOR PROCESSING OF SEMICONDUCTOR DEVICES"
G03G,"ELECTROGRAPHY"
G03H,"HOLOGRAPHIC PROCESSES OR APPARATUS"
G04B,"MECHANICALLY-DRIVEN CLOCKS OR WATCHES"
G04C,"ELECTROMECHANICAL CLOCKS OR WATCHES"
G04D,"APPARATUS OR TOOLS SPECIALLY DESIGNED FOR MAKING OR MAINTAINING CLOCKS OR WATCHES"
G04F,"TIME-INTERVAL MEASURING"
G04G,"ELECTRONIC TIME-PIECES"
G04R,"RADIO-CONTROLLED TIME-PIECES"
G05B,"CONTROL OR REGULATING SYSTEMS IN GENERAL"
G05D,"SYSTEMS FOR CONTROLLING OR REGULATING NON-ELECTRIC VARIABLES"
G05F,"SYSTEMS FOR REGULATING ELECTRIC OR MAGNETIC VARIABLES"
G05G,"CONTROL DEVICES OR SYSTEMS INSOFAR AS CHARACTERISED BY MECHANICAL FEATURES ONLY"
G06C,"DIGITAL COMPUTERS IN WHICH ALL THE COMPUTATION IS EFFECTED MECHANICALLY"
G06D,"DIGITAL FLUID-PRESSURE COMPUTING DEVICES"
G06E,"OPTICAL COMPUTING DEVICES"
G06F,"ELECTRIC DIGITAL DATA PROCESSING"
G06G,"ANALOGUE COMPUTERS"
G06J,"HYBRID COMPUTING ARRANGEMENTS"
G06K,"GRAPHICAL DATA READING"
G06M,"COUNTING MECHANISMS"
G06N,"COMPUTING ARRANGEMENTS BASED ON SPECIFIC COMPUTATIONAL MODELS"
G06Q,"INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL OR SUPERVISORY PURPOSES"
G06T,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL"
G06V,"IMAGE OR VIDEO RECOGNITION OR UNDERSTANDING"
G07B,"TICKET-ISSUING APPARATUS"
G07C,"TIME OR ATTENDANCE REGISTERS"
G07D,"HANDLING OF COINS OR VALUABLE PAPERS, e.g. TESTING, SORTING BY DENOMINATIONS, COUNTING, DISPENSING, CHANGING OR DEPOSITING"
G07F,"COIN-FREED OR LIKE APPARATUS"
G07G,"REGISTERING THE RECEIPT OF CASH, VALUABLES, OR TOKENS"
G08B,"SIGNALLING SYSTEMS, e.g. PERSONAL CALLING SYSTEMS"
G08C,"TRANSMISSION SYSTEMS FOR MEASURED VALUES, CONTROL OR SIMILAR SIGNALS"
G08G,"TRAFFIC CONTROL SYSTEMS"
G09B,"EDUCATIONAL OR DEMONSTRATION APPLIANCES"
G09C,"CIPHERING OR DECIPHERING APPARATUS FOR CRYPTOGRAPHIC OR OTHER PURPOSES INVOLVING THE NEED FOR SECRECY"
G09D,"RAILWAY OR LIKE TIME OR FARE TABLES"
G09F,"DISPLAYING"
G09G,"ARRANGEMENTS OR CIRCUITS FOR CONTROL OF INDICATING DEVICES USING STATIC MEANS TO PRESENT VARIABLE INFORMATION"
G10B,"ORGANS, HARMONIUMS OR SIMILAR WIND MUSICAL INSTRUMENTS WITH ASSOCIATED BLOWING APPARATUS"
G10C,"PIANOS, HARPSICHORDS, SPINETS OR SIMILAR STRINGED MUSICAL INSTRUMENTS WITH ONE OR MORE KEYBOARDS"
G10D,"STRINGED MUSICAL INSTRUMENTS"
G10F,"AUTOMATIC MUSICAL INSTRUMENTS"
G10G,"REPRESENTATION OF MUSIC"
G10H,"ELECTROPHONIC MUSICAL INSTRUMENTS"
G10K,"SOUND-PRODUCING DEVICES"
G10L,"SPEECH ANALYSIS TECHNIQUES OR SPEECH SYNTHESIS"
G11B,"INFORMATION STORAGE BASED ON RELATIVE MOVEMENT BETWEEN RECORD CARRIER AND TRANSDUCER"
G11C,"STATIC STORES"
G12B,"CONSTRUCTIONAL DETAILS OF INSTRUMENTS, OR COMPARABLE DETAILS OF OTHER APPARATUS, NOT OTHERWISE PROVIDED FOR"
G16B,"BIOINFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR GENETIC OR PROTEIN-RELATED DATA PROCESSING IN COMPUTATIONAL MOLECULAR BIOLOGY"
G16C,"COMPUTATIONAL CHEMISTRY"
G16H,"HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA"
G16Y,"INFORMATION AND COMMUNICATION TECHNOLOGY SPECIALLY ADAPTED FOR THE INTERNET OF THINGS [IoT]"
G16Z,"INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS, NOT OTHERWISE PROVIDED FOR"
G21B,"FUSION REACTORS"
G21C,"NUCLEAR REACTORS"
G21D,"NUCLEAR POWER PLANT"
G21F,"PROTECTION AGAINST X-RADIATION, GAMMA RADIATION, CORPUSCULAR RADIATION OR PARTICLE BOMBARDMENT"
G21G,"CONVERSION OF CHEMICAL ELEMENTS"
G21H,"OBTAINING ENERGY FROM RADIOACTIVE SOURCES"
G21J,"NUCLEAR EXPLOSIVES"
G21K,"HANDLING OF PARTICLES OR IONISING RADIATION NOT OTHERWISE PROVIDED FOR"
G99Z,"SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION"
H01B,"CABLES"
H01C,"RESISTORS"
H01F,"MAGNETS"
H01G,"CAPACITORS"
H01H,"ELECTRIC SWITCHES"
H01J,"ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS"
H01K,"ELECTRIC INCANDESCENT LAMPS"
H01M,"PROCESSES OR MEANS, e.g. BATTERIES, FOR THE DIRECT CONVERSION OF CHEMICAL ENERGY INTO ELECTRICAL ENERGY"
H01P,"WAVEGUIDES"
H01Q,"ANTENNAS, i.e. RADIO AERIALS"
H01R,"ELECTRICALLY-CONDUCTIVE CONNECTIONS"
H01S,"DEVICES USING THE PROCESS OF LIGHT AMPLIFICATION BY STIMULATED EMISSION OF RADIATION [LASER] TO AMPLIFY OR GENERATE LIGHT"
H01T,"SPARK GAPS"
H02B,"BOARDS, SUBSTATIONS OR SWITCHING ARRANGEMENTS FOR THE SUPPLY OR DISTRIBUTION OF ELECTRIC POWER"
H02G,"INSTALLATION OF ELECTRIC CABLES OR LINES, OR OF COMBINED OPTICAL AND ELECTRIC CABLES OR LINES"
H02H,"EMERGENCY PROTECTIVE CIRCUIT ARRANGEMENTS"
H02J,"ELECTRIC POWER NETWORKS"
H02K,"DYNAMO-ELECTRIC MACHINES"
H02M,"APPARATUS FOR CONVERSION BETWEEN AC AND AC, BETWEEN AC AND DC, OR BETWEEN DC AND DC, AND FOR USE WITH MAINS OR SIMILAR POWER SUPPLY SYSTEMS"
H02N,"ELECTRIC MACHINES NOT OTHERWISE PROVIDED FOR"
H02P,"CONTROL OR REGULATION OF ELECTRIC MOTORS, ELECTRIC GENERATORS OR DYNAMO-ELECTRIC CONVERTERS"
H02S,"GENERATION OF ELECTRIC POWER BY CONVERSION OF INFRARED RADIATION, VISIBLE LIGHT OR ULTRAVIOLET LIGHT, e.g. USING PHOTOVOLTAIC [PV] MODULES"
H03B,"GENERATION OF OSCILLATIONS, DIRECTLY OR BY FREQUENCY-CHANGING, BY CIRCUITS EMPLOYING ACTIVE ELEMENTS WHICH OPERATE IN A NON-SWITCHING MANNER"
H03C,"MODULATION"
H03D,"DEMODULATION OR TRANSFERENCE OF MODULATION FROM ONE CARRIER TO ANOTHER"
H03F,"AMPLIFIERS"
H03G,"CONTROL OF AMPLIFICATION"
H03H,"IMPEDANCE NETWORKS, e.g. RESONANT CIRCUITS"
H03J,"TUNING RESONANT CIRCUITS"
H03K,"PULSE TECHNIQUE"
H03L,"AUTOMATIC CONTROL, STARTING, SYNCHRONISATION OR STABILISATION OF GENERATORS OF ELECTRONIC OSCILLATIONS OR PULSES"
H03M,"CODING"
H04B,"TRANSMISSION"
H04H,"BROADCAST COMMUNICATION"
H04J,"MULTIPLEX COMMUNICATION"
H04K,"SECRET COMMUNICATION"
H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
H04M,"TELEPHONIC COMMUNICATION"
H04N,"PICTORIAL COMMUNICATION, e.g. TELEVISION"
H04Q,"SELECTING"
H04R,"LOUDSPEAKERS, MICROPHONES, GRAMOPHONE PICK-UPS OR LIKE ACOUSTIC ELECTROMECHANICAL TRANSDUCERS"
H04S,"STEREOPHONIC SYSTEMS "
H04T,"INDEXING SCHEME ASSOCIATED WITH CLASS H04, RELATING TO STANDARDS FOR ELECTRIC COMMUNICATION TECHNIQUE"
H04W,"WIRELESS COMMUNICATION NETWORKS"
H05B,"ELECTRIC HEATING"
H05C,"ELECTRIC CIRCUITS OR APPARATUS SPECIALLY DESIGNED FOR USE IN EQUIPMENT FOR KILLING, STUNNING, OR GUIDING LIVING BEINGS"
H05F,"STATIC ELECTRICITY"
H05G,"X-RAY TECHNIQUE"
H05H,"PLASMA TECHNIQUE"
H05K,"PRINTED CIRCUITS"
H10B,"ELECTRONIC MEMORY DEVICES"
H10D,"INORGANIC ELECTRIC SEMICONDUCTOR DEVICES"
